origin_airport;destination_airport;image_url;image_tag;description;url;origin_city;destination_city;price_oneway;price_round;applink;route;priority;origin_country_2lc;destination_country_2lc;origin_location_id;origin_slug;destination_location_id;destination_slug;origin_city_en;destination_city_en;origin_country;origin_country_en;destination_country;destination_country_en;cheap_landing_page_url;search_results_url_oneway;search_results_url_return;currency;language
PRG;PUQ;https://images.kiwi.com/photos/1280x720/punta-arenas_cl.jpg;Punta Arenas, travel destination, city;Praha - Punta Arenas;https://kiwi.com/cz/hledej/results/praha-cesko/punta-arenas-chile;Praha;Punta Arenas;13031 CZK;27801 CZK;;PRG-PUQ;;CZ;CL;prague_cz;praha-cesko;punta-arenas_cl;punta-arenas-chile;Prague;Punta Arenas;Česko;Czechia;Chile;Chile;https://www.kiwi.com/cz/cheap-flights/praha-cesko/punta-arenas-chile/;https://www.kiwi.com/cz/hledej/results/praha-cesko/punta-arenas-chile/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/punta-arenas-chile/anytime;CZK;cz
PRG;GUA;https://images.kiwi.com/photos/1280x720/guatemala-city_gt.jpg;"Ciudad de Guatemala
, travel destination, city";"Praha - Ciudad de Guatemala
";https://kiwi.com/cz/hledej/results/praha-cesko/ciudad-de-guatemala;Praha;"Ciudad de Guatemala
";10606 CZK;18713 CZK;;PRG-GUA;;CZ;GT;prague_cz;praha-cesko;guatemala-city_gt;ciudad-de-guatemala;Prague;Guatemala City;Česko;Czechia;Guatemala;Guatemala;https://www.kiwi.com/cz/cheap-flights/praha-cesko/ciudad-de-guatemala/;https://www.kiwi.com/cz/hledej/results/praha-cesko/ciudad-de-guatemala/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/ciudad-de-guatemala/anytime;CZK;cz
PRG;ARK;https://images.kiwi.com/photos/1280x720/arusha_tz.jpg;Arusha, travel destination, city;Praha - Arusha;https://kiwi.com/cz/hledej/results/praha-cesko/arusha-tanzanie;Praha;Arusha;10312 CZK;23147 CZK;;PRG-ARK;;CZ;TZ;prague_cz;praha-cesko;arusha_tz;arusha-tanzanie;Prague;Arusha;Česko;Czechia;Tanzanie;Tanzania;https://www.kiwi.com/cz/cheap-flights/praha-cesko/arusha-tanzanie/;https://www.kiwi.com/cz/hledej/results/praha-cesko/arusha-tanzanie/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/arusha-tanzanie/anytime;CZK;cz
PRG;ISU;https://images.kiwi.com/photos/1280x720/sulaymaniyah_iq.jpg;Sulajmáníja, travel destination, city;Praha - Sulajmáníja;https://kiwi.com/cz/hledej/results/praha-cesko/sulajmanija-irak;Praha;Sulajmáníja;6172 CZK;12516 CZK;;PRG-ISU;;CZ;IQ;prague_cz;praha-cesko;sulaymaniyah_iq;sulajmanija-irak;Prague;Sulaymaniyah;Česko;Czechia;Irák;Iraq;https://www.kiwi.com/cz/cheap-flights/praha-cesko/sulajmanija-irak/;https://www.kiwi.com/cz/hledej/results/praha-cesko/sulajmanija-irak/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/sulajmanija-irak/anytime;CZK;cz
PRG;TMS;https://images.kiwi.com/photos/1280x720/sao-tome_st.jpg;São Tomé, travel destination, city;Praha - São Tomé;https://kiwi.com/cz/hledej/results/praha-cesko/sao-tome-svaty-tomas-a-princuv-ostrov;Praha;São Tomé;10875 CZK;16974 CZK;;PRG-TMS;;CZ;ST;prague_cz;praha-cesko;sao-tome_st;sao-tome-svaty-tomas-a-princuv-ostrov;Prague;São Tomé;Česko;Czechia;Svatý Tomáš a Princův ostrov;São Tomé & Príncipe;https://www.kiwi.com/cz/cheap-flights/praha-cesko/sao-tome-svaty-tomas-a-princuv-ostrov/;https://www.kiwi.com/cz/hledej/results/praha-cesko/sao-tome-svaty-tomas-a-princuv-ostrov/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/sao-tome-svaty-tomas-a-princuv-ostrov/anytime;CZK;cz
BRQ;LYS;https://images.kiwi.com/photos/1280x720/lyon_fr.jpg;Lyon, travel destination, city;Brno - Lyon;https://kiwi.com/cz/hledej/results/brno-cesko/lyon-francie;Brno;Lyon;1739 CZK;3429 CZK;;BRQ-LYS;;CZ;FR;brno_cz;brno-cesko;lyon_fr;lyon-francie;Brno;Lyon;Česko;Czechia;Francie;France;https://www.kiwi.com/cz/cheap-flights/brno-cesko/lyon-francie/;https://www.kiwi.com/cz/hledej/results/brno-cesko/lyon-francie/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/lyon-francie/anytime;CZK;cz
OSR;HAM;https://images.kiwi.com/photos/1280x720/hamburg_de.jpg;Hamburk, travel destination, city;Ostrava - Hamburk;https://kiwi.com/cz/hledej/results/ostrava-cesko/hamburk-nemecko;Ostrava;Hamburk;2645 CZK;4188 CZK;;OSR-HAM;;CZ;DE;ostrava_cz;ostrava-cesko;hamburg_de;hamburk-nemecko;Ostrava;Hamburg;Česko;Czechia;Německo;Germany;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/hamburk-nemecko/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/hamburk-nemecko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/hamburk-nemecko/anytime;CZK;cz
