games__id,games__name,games__url,games__thumbnailUrl
not_enough_kittens.thunderkick,ノット・イナフ・キッテンズ,https://www.mystino.com/ja/game/not_enough_kittens.thunderkick/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/1F14ESkY5zrv0wIX4hWXFQ/5fe0c655fccdb1f35a5c1487c3a1ff59/not_enough_kittens.thunderkick.thumbnail.png"
reel_hero.wazdan,リール・ヒーロー,https://www.mystino.com/ja/game/reel_hero.wazdan/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/79TELn5vTRjOnRMbDuzsDu/a308ac057951c57e99d00e4267e36190/ReelHero.png"
wild_walker.pragmaticplay,ワイルド・ウォーカー,https://www.mystino.com/ja/game/wild_walker.pragmaticplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2ILdJWQD2sCRbhhHU1XgTQ/150f1109406d261947dc0482e83d3916/wild_walker.pragmaticplay.png"
spin_party.playngo,スピン・パーティー,https://www.mystino.com/ja/game/spin_party.playngo/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/3MCogelQWztipfd81FKdgw/bec40635b6aca0b036d2fb41a9f002b6/spin_party.playngo.thumbnail.jpeg"
gangsters.habanero,ギャングスターズ,https://www.mystino.com/ja/game/gangsters.habanero/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7uTMakpCMLY1VMVMhgBi2H/8780dbdecdf39f41abed6b8cb1b03560/PSD-Gangsters_main_loading.png"
live_mystino_blackjack.evolution,ライブ・ミスティーノ・ブラックジャック,https://www.mystino.com/ja/game/live_mystino_blackjack.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6dLC4ggJ1uOUEP2P31Qg9p/774238ad0df2ab66912b7bd89edaae4c/live_mystino_blackjack.evolution.png"
live_baccarat_a01.skywind,ライブ・バカラ A01,https://www.mystino.com/ja/game/live_baccarat_a01.skywind/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6qRcq0DRNMZPXEIkE3F8E6/39a6395c2f86b33bd159ac21ae8b7687/live_baccarat_a01.skywind.png"
live_baccarat_a02.skywind,ライブ・バカラ A02,https://www.mystino.com/ja/game/live_baccarat_a02.skywind/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/1X9MDI0jRYPjbMJxsKHIBj/d76dbdb78b239dfa9efaf67214486f35/live_baccarat_a01.skywind.png"
live_japanese_roulette.evolution,ライブ・ジャパニーズ・ルーレット,https://www.mystino.com/ja/game/live_japanese_roulette.evolution/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6fFOnv1QxO5m2qwLHTMtDK/c4c01e6f8ce695f03b3c2a349194ddaf/2019_12_japanese_live_roulette_female_dealer_brunette_19309_1993_08_1.jpg"
live_lobby_roulette.pragmaticplay,ライブ・ロビー・ルーレット,https://www.mystino.com/ja/game/live_lobby_roulette.pragmaticplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5BVas7ixDQ1TCUubT2rfV0/ecd61710db6323cf050e37118913b4cc/live_lobby_roulette.pragmaticplay.png"
